iter	Passed	Remaining
0	0	64
1	1	55
2	1	55
3	2	56
4	2	55
5	3	54
6	3	51
7	4	50
8	4	48
9	5	47
10	5	46
11	6	45
12	6	45
13	7	44
14	7	44
15	8	43
16	8	43
17	9	42
18	9	42
19	10	41
20	10	40
21	11	39
22	11	39
23	12	38
24	12	38
25	13	37
26	13	37
27	14	36
28	14	35
29	15	35
30	15	34
31	16	34
32	16	33
33	17	33
34	17	33
35	18	32
36	18	32
37	19	31
38	19	30
39	20	30
40	20	29
41	21	29
42	21	28
43	22	28
44	22	27
45	23	27
46	23	26
47	23	25
48	24	25
49	24	24
50	25	24
51	25	23
52	26	23
53	26	22
54	27	22
55	27	21
56	28	21
57	28	20
58	29	20
59	29	19
60	30	19
61	30	18
62	31	18
63	31	17
64	32	17
65	32	16
66	33	16
67	33	15
68	34	15
69	34	14
70	35	14
71	36	14
72	36	13
73	37	13
74	37	12
75	38	12
76	39	11
77	39	11
78	40	10
79	40	10
80	41	9
81	41	9
82	42	8
83	42	8
84	43	7
85	43	7
86	44	6
87	44	6
88	45	5
89	46	5
90	46	4
91	47	4
92	47	3
93	48	3
94	48	2
95	49	2
96	49	1
97	50	1
98	50	0
99	51	0
